level,interval,e_min,e_max,n_points
16,14,4.035087719298246,4.035087719298246,1
16,15,4.110275689223057,4.110275689223057,1
16,16,4.160401002506266,4.185463659147869,2
16,17,4.285714285714286,4.285714285714286,1
16,18,4.335839598997493,4.335839598997493,1
16,19,4.4110275689223055,4.4110275689223055,1
16,20,4.486215538847118,4.486215538847118,1
16,21,4.586466165413533,4.586466165413533,1
16,22,4.93734335839599,4.93734335839599,1
16,23,5.137844611528822,5.137844611528822,1
16,24,5.213032581453634,5.213032581453634,1
16,25,5.288220551378446,5.288220551378446,1
16,26,5.3884711779448615,5.3884711779448615,1
16,27,5.463659147869674,5.463659147869674,1
16,28,5.68922305764411,5.68922305764411,1
16,29,5.764411027568922,5.764411027568922,1
16,30,5.81453634085213,5.81453634085213,1
16,31,5.864661654135338,5.864661654135338,1
16,32,5.9147869674185465,5.9147869674185465,1
16,33,6.015037593984962,6.015037593984962,1
16,34,6.06516290726817,6.06516290726817,1
16,35,6.365914786967418,6.365914786967418,1
16,36,6.416040100250626,6.416040100250626,1
16,37,6.491228070175438,6.491228070175438,1
16,38,6.641604010025063,6.641604010025063,1
16,39,6.716791979949875,6.716791979949875,1
16,40,6.7669172932330826,6.81704260651629,3
16,41,7.017543859649122,7.017543859649122,1
16,42,7.06766917293233,7.06766917293233,1
16,43,7.117794486215539,7.117794486215539,1
16,44,7.393483709273182,7.393483709273182,1
16,45,8.170426065162907,8.170426065162907,1
16,46,8.295739348370926,8.295739348370926,1
16,47,8.345864661654135,8.345864661654135,1
16,48,8.421052631578947,8.421052631578947,1
16,49,9.223057644110275,9.248120300751879,2
16,50,9.3734335839599,9.3734335839599,1
16,51,9.498746867167918,9.498746867167918,1
16,52,9.548872180451127,9.548872180451127,1
16,53,9.899749373433583,9.899749373433583,1
17,0,0.0,0.0,1
17,1,2.832080200501253,2.8571428571428568,2
17,2,3.032581453634085,3.032581453634085,1
17,3,3.107769423558897,3.107769423558897,1
17,4,3.258145363408521,3.2832080200501252,2
17,5,3.659147869674185,3.6842105263157894,2
17,6,3.7593984962406015,3.7593984962406015,1
17,7,3.834586466165413,3.834586466165413,1
17,8,3.9348370927318292,3.9598997493734336,2
17,9,4.110275689223057,4.110275689223057,1
17,10,4.160401002506266,4.185463659147869,2
17,11,4.335839598997493,4.335839598997493,1
17,12,4.4110275689223055,4.4110275689223055,1
17,13,5.213032581453634,5.213032581453634,1
17,14,5.288220551378446,5.288220551378446,1
17,15,5.68922305764411,5.68922305764411,1
17,16,5.9147869674185465,5.9147869674185465,1
17,17,6.365914786967418,6.365914786967418,1
17,18,6.491228070175438,6.491228070175438,1
17,19,6.641604010025063,6.641604010025063,1
17,20,6.7669172932330826,6.7669172932330826,1
17,21,6.81704260651629,6.81704260651629,1
17,22,7.017543859649122,7.017543859649122,1
17,23,7.117794486215539,7.117794486215539,1
17,24,8.170426065162907,8.170426065162907,1
17,25,9.548872180451127,9.548872180451127,1
18,0,2.832080200501253,2.832080200501253,1
18,1,3.258145363408521,3.2832080200501252,2
18,2,3.6842105263157894,3.6842105263157894,1
18,3,3.9598997493734336,3.9598997493734336,1
18,4,4.185463659147869,4.185463659147869,1
18,5,4.4110275689223055,4.4110275689223055,1
18,6,6.365914786967418,6.365914786967418,1
18,7,6.7669172932330826,6.7669172932330826,1
18,8,8.170426065162907,8.170426065162907,1
19,0,3.258145363408521,3.258145363408521,1
19,1,6.365914786967418,6.365914786967418,1
19,2,8.170426065162907,8.170426065162907,1
20,-1,nan,nan,0
